feature,importance
sma_50,0.04662352100111719
sma_diff_20_50,0.041144440263612914
bb_lower,0.04012983929658793
volatility_20,0.03958148988545316
bb_upper,0.03942591875581675
ema_21,0.03859202775545486
sma_20,0.0376784542366279
bb_middle,0.03738714243461688
ema_9,0.03705206711949326
macd_signal,0.03615193948384033
day_of_month,0.03611881888793522
bb_width,0.03380010191253575
macd_line,0.031175102789945158
atr,0.029397078012047162
ema_diff_9_21,0.028133540024128836
macd_histogram,0.027538946450719238
volatility_5,0.02603757605502315
hour,0.02450600801937591
ema9_slope,0.023374035388558007
hour_sin,0.022178352625385114
hour_cos,0.021842890345309146
returns_15,0.021619645763349515
momentum_15,0.021415263809705386
price_to_sma20,0.020687902408680774
bb_position,0.020595501437148386
rsi,0.020494244940121906
day_of_week,0.020231652283982996
rsi_diff,0.020145434465507702
price_to_ema9,0.018708667910869167
returns_5,0.018340837875450773
momentum_5,0.01815858894494673
candle_range,0.017244020788899302
body_size,0.016683323346407417
returns_1,0.016516654619532587
lower_shadow,0.0142556904071033
upper_shadow,0.014188699374809509
is_weekend,0.004202424633008402
bb_squeeze,0.003674451311016512
is_ny_session,0.0035657214858272014
is_asian_session,0.0026185869602751923
is_london_session,0.002508011243763067
macd_bullish,0.0016716936890070597
is_doji,0.001115520076819236
is_bearish,0.00105352481846404
is_bullish,0.0010245028842382153
rsi_overbought,0.000724594398120049
rsi_oversold,0.0006855493793617089
stoch_d,0.0
stoch_k,0.0
pattern_shooting_star,0.0
pattern_hammer,0.0
stoch_overbought,0.0
stoch_oversold,0.0
bullish_pattern_count,0.0
pattern_three_black_crows,0.0
bearish_pattern_count,0.0
pattern_three_white_soldiers,0.0
pattern_bullish_engulfing,0.0
pattern_bearish_engulfing,0.0
pattern_doji,0.0
pattern_piercing_pattern,0.0
pattern_dark_cloud_cover,0.0
pattern_morning_star,0.0
pattern_evening_star,0.0
volume_ratio,0.0
